,magnitude,data,hora,periodo,subnational,city,depth,felt,continent,latitude,longitude,mmi,cdi,impacto,magnitude_range,media por magnitude
0,4.8,2024-09-17,00:49:42,Noite,Texas,Tarzan-Lenorah,4.044,1893,North America,32.3984,-102.044,5,6,Baixo,4-5,8.028601432748536
1,5.1,2024-09-17,00:49:42,Noite,Texas,Tarzan-Lenorah,6.1279,2042,North America,32.414,-102.057,5,6,Médio,5-6,10.632599949070537
2,3.7,2024-09-16,11:22:08,Manhã,California,Los Angeles,10.9,1580,North America,34.0678,-118.807,4,4,Baixo,3-4,8.43373696251438
3,3.9,2024-09-14,17:01:06,Tarde,Texas,Van Horn,6.2024,5,North America,31.647,-104.45,4,3,Baixo,3-4,8.43373696251438
4,4.1,2024-09-14,17:01:06,Tarde,Texas,Van Horn,8.814,4,North America,31.6323,-104.473,4,3,Baixo,4-5,8.028601432748536
5,3.23,2024-09-13,11:56:39,Manhã,California,Los Angeles,10.95,472,North America,34.0637,-118.812,3,4,Baixo,3-4,8.43373696251438
6,3.43,2024-09-12,16:37:32,Tarde,California,Los Angeles,11.02,234,North America,34.0588,-118.799,3,4,Baixo,3-4,8.43373696251438
7,3.44,2024-09-12,15:40:49,Tarde,California,Los Angeles,10.93,225,North America,34.0682,-118.8,3,4,Baixo,3-4,8.43373696251438
8,4.69,2024-09-12,14:28:21,Tarde,California,Los Angeles,11.35,18592,North America,34.0703,-118.808,5,5,Baixo,4-5,8.028601432748536
9,3.5,2024-09-11,08:31:01,Manhã,Nevada,Alamo,11.8,0,North America,37.6127,-115.303,3,0,Baixo,3-4,8.43373696251438
10,3.8,2024-09-10,18:03:00,Noite,Texas,Van Horn,6.1511,5,North America,31.641,-104.356,4,3,Baixo,3-4,8.43373696251438
11,3.3,2024-09-09,09:50:37,Manhã,Texas,Van Horn,7.0227,1,North America,31.586,-104.55,4,3,Baixo,3-4,8.43373696251438
12,3.8,2024-09-08,02:37:22,Noite,Texas,Van Horn,6.0999,2,North America,31.663,-104.452,4,3,Baixo,3-4,8.43373696251438
