,magnitude,data,hora,periodo,depth,felt,continent,latitude,longitude,mmi,cdi
0,4.8,2024-09-17,00:49:42,Noite,4.044,1893,North America,32.3984,-102.044,5,6
1,5.1,2024-09-17,00:49:42,Noite,6.1279,2042,North America,32.414,-102.057,5,6
2,3.7,2024-09-16,11:22:08,Manhã,10.9,1580,North America,34.0678,-118.807,4,4
3,3.9,2024-09-14,17:01:06,Tarde,6.2024,5,North America,31.647,-104.45,4,3
4,4.1,2024-09-14,17:01:06,Tarde,8.814,4,North America,31.6323,-104.473,4,3
5,3.23,2024-09-13,11:56:39,Manhã,10.95,472,North America,34.0637,-118.812,3,4
6,3.43,2024-09-12,16:37:32,Tarde,11.02,234,North America,34.0588,-118.799,3,4
7,3.44,2024-09-12,15:40:49,Tarde,10.93,225,North America,34.0682,-118.8,3,4
8,4.69,2024-09-12,14:28:21,Tarde,11.35,18592,North America,34.0703,-118.808,5,5
9,3.5,2024-09-11,08:31:01,Manhã,11.8,0,North America,37.6127,-115.303,3,0
10,3.8,2024-09-10,18:03:00,Noite,6.1511,5,North America,31.641,-104.356,4,3
11,3.3,2024-09-09,09:50:37,Manhã,7.0227,1,North America,31.586,-104.55,4,3
12,3.8,2024-09-08,02:37:22,Noite,6.0999,2,North America,31.663,-104.452,4,3
13,3.9,2024-09-08,02:37:22,Noite,10.0,1,North America,31.6305,-104.466,4,3
14,3.35,2024-09-08,02:16:27,Noite,4.98,13,North America,41.5833,-112.42,4,4
15,3.94,2024-09-07,17:34:20,Tarde,4.84,2756,North America,34.0297,-117.586,5,5
16,3.45,2024-09-07,17:05:45,Tarde,5.96,824,North America,34.0227,-117.593,4,4
17,3.09,2024-09-07,14:31:32,Tarde,-0.25,6,North America,38.7893,-122.734,4,4
18,4.28,2024-09-07,14:30:36,Tarde,0.16,241,North America,38.7765,-122.746,5,5
19,3.17,2024-09-07,06:03:42,Manhã,-0.1,11,North America,33.7255,-118.599,2,3
20,3.47,2024-09-06,12:07:06,Tarde,5.29,49,North America,38.6982,-119.598,4,3
21,3.32,2024-09-05,20:04:29,Noite,11.39,27,North America,36.07,-120.167,3,3
22,3.1,2024-09-04,21:31:11,Noite,8.3,0,North America,37.741,-117.142,3,0
23,3.1,2024-09-04,21:31:10,Noite,5.0,0,North America,37.743,-117.134,3,0
24,3.0,2024-09-04,21:30:35,Noite,5.0,0,North America,37.7769,-117.067,3,0
25,3.46,2024-09-03,12:11:58,Tarde,9.43,11,North America,37.432,-118.758,3,3
26,3.14,2024-09-02,11:34:26,Manhã,-0.11,5,North America,33.7102,-118.628,2,3
27,3.4,2024-09-01,11:01:44,Manhã,3.36,71,North America,37.4332,-118.469,4,3
28,3.5,2024-09-01,08:47:07,Manhã,23.624,4,North America,47.3504,-113.16,3,3
29,3.4,2024-08-31,10:01:04,Manhã,6.0999,0,North America,31.608,-103.99,4,0
30,3.6,2024-08-31,10:01:04,Manhã,9.724,0,North America,31.6125,-103.986,4,0
31,3.6,2024-08-31,07:56:25,Manhã,9.194,0,North America,31.6465,-104.339,4,0
32,3.3,2024-08-31,07:56:24,Manhã,6.0999,0,North America,31.663,-104.37,4,0
33,3.9,2024-08-28,19:57:22,Noite,6.7664,0,North America,31.663,-104.363,4,0
34,3.31,2024-08-28,12:43:01,Tarde,15.85,298,North America,33.6755,-116.723,3,3
35,3.9,2024-08-25,05:13:45,Manhã,4.2,12,North America,38.6738,-118.545,4,3
36,3.4,2024-08-24,14:05:18,Tarde,5.7,0,North America,38.6698,-118.546,3,0
37,3.3,2024-08-24,13:57:04,Tarde,5.3,0,North America,38.6825,-118.555,3,0
38,3.2,2024-08-24,13:57:04,Tarde,9.426,0,North America,38.6833,-118.548,3,0
39,3.3,2024-08-24,04:14:00,Noite,6.7,3,North America,38.6669,-118.556,3,2
40,4.3,2024-08-23,15:31:58,Tarde,5.5,30,North America,38.6847,-118.564,4,4
41,4.3,2024-08-23,15:31:57,Tarde,5.0,9,North America,38.7101,-118.532,4,4
42,3.3,2024-08-23,14:51:22,Tarde,4.7,3,North America,38.6808,-118.55,3,3
43,3.0,2024-08-23,13:43:06,Tarde,6.0,2,North America,38.6871,-118.561,3,2
44,3.9,2024-08-23,03:21:38,Noite,6.0999,3,North America,31.656,-104.457,5,3
45,4.2,2024-08-23,03:21:38,Noite,5.0,1,North America,31.6187,-104.443,4,1
46,3.8,2024-08-15,22:59:30,Noite,8.0078,5,North America,31.691,-101.701,4,5
47,3.29,2024-08-15,18:02:34,Noite,9.23,12,North America,37.0675,-112.864,3,3
48,3.61,2024-08-15,16:39:31,Tarde,8.38,3877,North America,33.6777,-117.391,4,4
49,4.4,2024-08-14,03:06:35,Noite,13.2,544,North America,36.61,-115.727,4,4
50,4.1,2024-08-14,03:06:35,Noite,19.877,110,North America,36.633,-115.709,4,4
51,4.39,2024-08-12,19:20:24,Noite,10.98,24227,North America,34.0843,-118.185,5,5
52,3.66,2024-08-11,09:45:13,Manhã,5.0,5,North America,35.9492,-117.679,4,5
